Hit,Text_id,Context_before,Query_item,Context_after,Tagged_context_before,Tagged_query_item,Tagged_context_after,Matchbegin_corpus_position,Matchend_corpus_position,V1,Permittee,V2,V2_type,V2_permittee_control,V2_valency,Permitter_semantics,Permittee_semantics,Com_channel,BNC_domain,Domain_use,V1_imperative,V2_length,V1_distance
5067,G3B,"to the lavatory . The first few times the carabiniere on duty became impatient and tried to make him come out , but the only answer he got was that the prisoner was feeling extremely unwell and wanted please to be left alone . Eventually the carabiniere got bored and",<<< let Eric stay in >>>,"the lavatory for as long as he wanted . But in the evening , on what was to prove his last visit , the prisoner was so long and so quiet that eventually the carabiniere who had remained to guard him banged on the door . Receiving no reply ,","to_PRP the_AT0 lavatory_NN1 ._PUN The_AT0 first_ORD few_DT0 times_NN2 the_AT0 carabiniere_NN1 on_PRP duty_NN1 became_VVD impatient_AJ0 and_CJC tried_VVD to_TO0 make_VVI him_PNP come_VVI out_AVP ,_PUN but_CJC the_AT0 only_AJ0 answer_NN1 he_PNP got_VVD was_VBD that_CJT the_AT0 prisoner_NN1 was_VBD feeling_VVG extremely_AV0 unwell_AJ0 and_CJC wanted_VVD please_AV0 to_TO0 be_VBI left_VVN-AJ0 alone_AJ0 ._PUN Eventually_AV0 the_AT0 carabiniere_NN1 got_VVD bored_AJ0 and_CJC",<<< let_VVB Eric_NP0 stay_VVI in_PRP >>>,"the_AT0 lavatory_NN1 for_PRP as_AV0 long_AV0 as_CJS he_PNP wanted_VVD ._PUN But_CJC in_PRP the_AT0 evening_NN1 ,_PUN on_PRP what_DTQ was_VBD to_TO0 prove_VVI his_DPS last_ORD visit_NN1-VVB ,_PUN the_AT0 prisoner_NN1 was_VBD so_AV0 long_AJ0 and_CJC so_AV0 quiet_AJ0 that_CJT eventually_AV0 the_AT0 carabiniere_NN1 who_PNQ had_VHD remained_VVN to_TO0 guard_VVI him_PNP banged_VVN-VVD on_PRP the_AT0 door_NN1 ._PUN Receiving_VVG no_AT0 reply_NN1 ,_PUN",63879589,63879592,let,Eric,stay,verb,control,active,animate,animate,written,world_affairs,public,non-imperative,4,1
5068,G3B,events I had little time to try to find out what had happened to Eric . I knew more or less where he was and I knew he had not been recaptured &mdash; that was all . Then suddenly the chance came to visit him . I was able to,<<< let him know in >>>,"advance of my possible visit by giving a short letter to someone in Fontanellato , a patient of Dr Sambataro 's , who was going to visit a very ill relative in Lagrimone . I told Eric to expect me ; somehow I would let him know the date by way of",events_NN2 I_PNP had_VHD little_DT0 time_NN1 to_TO0 try_VVI to_TO0 find_VVI out_AVP what_DTQ had_VHD happened_VVN to_PRP Eric_NP0 ._PUN I_PNP knew_VVD more_AV0 or_CJC less_AV0 where_CJS he_PNP was_VBD and_CJC I_PNP knew_VVD he_PNP had_VHD not_XX0 been_VBN recaptured_VVN &mdash;_PUN that_DT0-CJT was_VBD all_DT0 ._PUN Then_AV0 suddenly_AV0 the_AT0 chance_NN1 came_VVD to_TO0 visit_VVI him_PNP ._PUN I_PNP was_VBD able_AJ0 to_TO0,<<< let_VVI him_PNP know_VVI in_PRP-AVP >>>,"advance_NN1 of_PRF my_DPS possible_AJ0 visit_NN1 by_PRP giving_VVG a_AT0 short_AJ0 letter_NN1 to_PRP someone_PNI in_PRP Fontanellato_NP0-NN1 ,_PUN a_AT0 patient_NN1 of_PRF Dr_NP0 Sambataro_NP0 's_POS ,_PUN who_PNQ was_VBD going_VVG to_TO0 visit_VVI a_AT0 very_AV0 ill_AJ0 relative_NN1 in_PRP Lagrimone_NP0-NN1 ._PUN I_PNP told_VVD Eric_NP0 to_TO0 expect_VVI me_PNP ;_PUN somehow_AV0 I_PNP would_VM0 let_VVI him_PNP know_VVI the_AT0 date_NN1 by_PRP way of",63885742,63885745,let,him ,know,verb,unclear,active,animate,animate,written,world_affairs,public,non-imperative,4,1
5069,G3B,"able to let him know in advance of my possible visit by giving a short letter to someone in Fontanellato , a patient of Dr Sambataro 's , who was going to visit a very ill relative in Lagrimone . I told Eric to expect me ; somehow I would",<<< let him know the >>>,"date by way of one of the contadini who were helping him . With some difficulty I managed to get a permit to travel from Parma in a bus which went up into the hills to Lagrimone ; once there , I would walk to the house of a Signor Ugolotti ,","able_AJ0 to_TO0 let_VVI him_PNP know_VVI in_PRP-AVP advance_NN1 of_PRF my_DPS possible_AJ0 visit_NN1 by_PRP giving_VVG a_AT0 short_AJ0 letter_NN1 to_PRP someone_PNI in_PRP Fontanellato_NP0-NN1 ,_PUN a_AT0 patient_NN1 of_PRF Dr_NP0 Sambataro_NP0 's_POS ,_PUN who_PNQ was_VBD going_VVG to_TO0 visit_VVI a_AT0 very_AV0 ill_AJ0 relative_NN1 in_PRP Lagrimone_NP0-NN1 ._PUN I_PNP told_VVD Eric_NP0 to_TO0 expect_VVI me_PNP ;_PUN somehow_AV0 I_PNP would_VM0",<<< let_VVI him_PNP know_VVI the_AT0 >>>,"date_NN1 by_PRP way of one_CRD of_PRF the_AT0 contadini_NN2 who_PNQ were_VBD helping_VVG him_PNP ._PUN With_PRP some_DT0 difficulty_NN1 I_PNP managed_VVD to_TO0 get_VVI a_AT0 permit_NN1-VVB to_TO0 travel_VVI from_PRP Parma_NP0 in_PRP a_AT0 bus_NN1 which_DTQ went_VVD up_AVP into_PRP the_AT0 hills_NN2 to_PRP Lagrimone_NP0-NN1 ;_PUN once_CJS there_AV0 ,_PUN I_PNP would_VM0 walk_VVI to_PRP the_AT0 house_NN1 of_PRF a_AT0 Signor_NP0 Ugolotti_NP0 ,_PUN",63885790,63885793,let,him ,know,verb,unclear,active,animate,animate,written,world_affairs,public,non-imperative,4,1
5070,G3C,"ambassadors . Athens , in a rather suspiciously parallel story , claimed to have done the same . When the Athenians ' consultants came to Delphoi , the Medium ( the Pythia , or &bquo; Delphic Woman &equo; ) , evidently carefully rehearsed in her part , did not even",<<< let them put their >>>,question . She received them with a shriek &mdash; in hexameter verse &mdash; bidding them &bquo; flee to the ends of the earth &equo; ( to &bquo; go west &equo; like the Phokaians ) . But they were not to be so easily put off . On the advice of,"ambassadors_NN2 ._PUN Athens_NP0 ,_PUN in_PRP a_AT0 rather_AV0 suspiciously_AV0 parallel_AJ0 story_NN1 ,_PUN claimed_VVD-VVN to_TO0 have_VHI done_VDN the_AT0 same_DT0 ._PUN When_CJS the_AT0 Athenians_NN2 '_POS consultants_NN2 came_VVD to_PRP Delphoi_NP0-NN1 ,_PUN the_AT0 Medium_NN1 (_PUL the_AT0 Pythia_NP0-NN1 ,_PUN or_CJC &bquo;_PUQ Delphic_AJ0 Woman_NN1 &equo;_PUQ )_PUR ,_PUN evidently_AV0 carefully_AV0 rehearsed_VVN in_PRP her_DPS part_NN1 ,_PUN did_VDD not_XX0 even_AV0",<<< let_VVI them_PNP put_VVD their_DPS >>>,question_NN1 ._PUN She_PNP received_VVD them_PNP with_PRP a_AT0 shriek_NN1 &mdash;_PUN in_PRP hexameter_AJC verse_NN1 &mdash;_PUN bidding_VVG them_PNP &bquo;_PUQ flee_VVB to_PRP the_AT0 ends_NN2 of_PRF the_AT0 earth_NN1 &equo;_PUQ (_PUL to_TO0 &bquo;_PUQ go_VVI west_NN1 &equo;_PUQ like_PRP the_AT0 Phokaians_NN2 )_PUR ._PUN But_CJC they_PNP were_VBD not_XX0 to_TO0 be_VBI so_AV0 easily_AV0 put_VVN off_AVP ._PUN On_PRP the_AT0 advice_NN1 of_PRF,63915839,63915842,let,them,put ,verb,control,active,animate,animate,written,world_affairs,public,non-imperative,3,1
5071,G3C,"that Pericles ( or Kimon , or Themistokles ) did this or that ; Thucydides , like Herodotos , more correctly says &bquo; the Athenians &equo; . Often Pericles advised ; usually , but not always , successfully . All influential parties in Athens were agreed in determination not to",<<< let the Delian League >>>,"be eroded by secessions ; there had by now been a number of these . The usual reasons were , says Thucydides , failure to provide their quotas of money or ships , or cases of desertion ; for the Athenians insisted on exact fulfilment , and were harsh in applying","that_CJT Pericles_NP0 (_PUL or_CJC Kimon_NP0-NN1 ,_PUN or_CJC Themistokles_NP0 )_PUR did_VDD this_DT0 or_CJC that_DT0 ;_PUN Thucydides_NP0 ,_PUN like_PRP Herodotos_NP0 ,_PUN more_AV0 correctly_AV0 says_VVZ &bquo;_PUQ the_AT0 Athenians_NN2 &equo;_PUQ ._PUN Often_AV0 Pericles_NP0 advised_VVD ;_PUN usually_AV0 ,_PUN but_CJC not_XX0 always_AV0 ,_PUN successfully_AV0 ._PUN All_DT0 influential_AJ0 parties_NN2 in_PRP Athens_NP0 were_VBD agreed_VVN in_PRP determination_NN1 not_XX0 to_TO0",<<< let_VVI the_AT0 Delian_AJ0 League_NN1 >>>,"be_VBI eroded_VVN by_PRP secessions_NN2 ;_PUN there_EX0 had_VHD by_AV0 now been_VBN a_AT0 number_NN1 of_PRF these_DT0 ._PUN The_AT0 usual_AJ0 reasons_NN2 were_VBD ,_PUN says_VVZ Thucydides_NP0 ,_PUN failure_NN1 to_TO0 provide_VVI their_DPS quotas_NN2 of_PRF money_NN1 or_CJC ships_NN2 ,_PUN or_CJC cases_NN2 of_PRF desertion_NN1 ;_PUN for_CJS the_AT0 Athenians_NN2 insisted_VVD on_PRP-AVP exact_AJ0 fulfilment_NN1 ,_PUN and_CJC were_VBD harsh_AJ0 in_PRP applying_VVG",63932704,63932707,let,the Delian League,erode,verb,no control,passive,animate,inanimate,written,world_affairs,public,non-imperative,5,3
5072,G3C,compete for those positions in which good conduct is essential and bad conduct would jeopardise the public interests . They do not demand application of the lot to the choice of the military officers . They realise that it is in their interest not to hold these positions but to,<<< let the leading men >>>,"have them , while &ndash;hey go for the jobs that only exist to provide a salary . The very point that surprises people &mdash; that in every way they give preferential treatment to the base , the poor , the men of the people , rather than the decent classes &mdash;",compete_VVI for_PRP those_DT0 positions_NN2 in_PRP which_DTQ good_AJ0 conduct_NN1 is_VBZ essential_AJ0 and_CJC bad_AJ0 conduct_NN1 would_VM0 jeopardise_VVI the_AT0 public_AJ0-NN1 interests_NN2 ._PUN They_PNP do_VDB not_XX0 demand_VVI application_NN1 of_PRF the_AT0 lot_NN1 to_PRP the_AT0 choice_NN1 of_PRF the_AT0 military_AJ0 officers_NN2 ._PUN They_PNP realise_VVB that_CJT it_PNP is_VBZ in_PRP their_DPS interest_NN1 not_XX0 to_TO0 hold_VVI these_DT0 positions_NN2 but_CJC to_TO0,<<< let_VVI the_AT0 leading_AJ0 men_NN2 >>>,"have_VHB them_PNP ,_PUN while_CJS &ndash;hey_NN1 go_VVB-NN1 for_PRP the_AT0 jobs_NN2 that_CJT only_AV0 exist_VVB to_TO0 provide_VVI a_AT0 salary_NN1 ._PUN The_AT0 very_AJ0 point_NN1 that_CJT surprises_VVZ-NN2 people_NN0 &mdash;_PUN that_CJT-DT0 in_PRP every_AT0 way_NN1 they_PNP give_VVB preferential_AJ0 treatment_NN1 to_PRP the_AT0 base_NN1 ,_PUN the_AT0 poor_AJ0 ,_PUN the_AT0 men_NN2 of_PRF the_AT0 people_NN0 ,_PUN rather_PRP than the_AT0 decent_AJ0 classes_NN2 &mdash;_PUN",63944896,63944899,let,the leading men,have,verb,control,active,animate,animate,written,world_affairs,public,non-imperative,4,3
5073,G3C,"slaves be comfortable , and some of them indeed have quite a high standard of living , there is sense in that too . Where sea-power is important , it is necessary that slaves should work for money , so that we may collect revenue from them , and we must",<<< let them be free >>>,"&hellip; Likewise , the city needs its domiciled non-citizens , for the sake of the numerous skilled trades , and for the sake of the navy ; and that is why we give equal rights to them too . Slaves , indeed , worked alongside free citizens and non-citizens at","slaves_NN2 be_VBI comfortable_AJ0 ,_PUN and_CJC some_DT0 of_PRF them_PNP indeed_AV0 have_VHB quite_AV0 a_AT0 high_AJ0 standard_NN1 of_PRF living_NN1-VVG ,_PUN there_EX0 is_VBZ sense_NN1 in_PRP that_DT0 too_AV0 ._PUN Where_CJS sea-power_NN1 is_VBZ important_AJ0 ,_PUN it_PNP is_VBZ necessary_AJ0 that_CJT slaves_NN2 should_VM0 work_VVI for_PRP money_NN1 ,_PUN so_CJS that we_PNP may_VM0 collect_VVI revenue_NN1 from_PRP them_PNP ,_PUN and_CJC we_PNP must_VM0",<<< let_VVI them_PNP be_VBI free_AJ0 >>>,"&hellip;_PUN Likewise_AV0 ,_PUN the_AT0 city_NN1 needs_VVZ its_DPS domiciled_VVN non-citizens_NN2 ,_PUN for_PRP the_AT0 sake_NN1 of_PRF the_AT0 numerous_AJ0 skilled_AJ0 trades_NN2 ,_PUN and_CJC for_PRP the_AT0 sake_NN1 of_PRF the_AT0 navy_NN1 ;_PUN and_CJC that_DT0 is_VBZ why_AVQ we_PNP give_VVB equal_AJ0 rights_NN2 to_PRP them_PNP too_AV0 ._PUN Slaves_NN2 ,_PUN indeed_AV0 ,_PUN worked_VVD-VVN alongside_PRP free_AJ0 citizens_NN2 and_CJC non-citizens_NN2 at_PRP",63945288,63945291,let,them,be,verb,control,active,animate,animate,written,world_affairs,public,non-imperative,2,1
5094,G3L,they are repugnant to reason or to fundamentals &quot; . Lord Denning raised the obvious question as to whether the judges might misuse their power &mdash; power which he wished to see dramatically increased &mdash; but he argued that we &quot; need have no fear &hellip; Someone must be trusted .,<<< Let it be the >>>,judges &quot; . Lord Hailsham and Lord Denning have not been alone in their views as to what is wrong with the established constitution and what kind of new constitutional settlement is needed . What is wrong with the established constitution ? The sovereignty of Parliament has been the linchpin of,they_PNP are_VBB repugnant_AJ0 to_TO0 reason_VVI or_CJC to_PRP fundamentals_NN2 &quot;_PUQ ._PUN Lord_NP0 Denning_NP0 raised_VVD the_AT0 obvious_AJ0 question_NN1 as_PRP to whether_CJS the_AT0 judges_NN2 might_VM0 misuse_VVI their_DPS power_NN1 &mdash;_PUN power_NN1-VVB which_DTQ he_PNP wished_VVD to_TO0 see_VVI dramatically_AV0 increased_VVN-AJ0 &mdash;_PUN but_CJC he_PNP argued_VVD that_CJT we_PNP &quot;_PUQ need_VM0 have_VHI no_AT0 fear_NN1 &hellip;_PUN Someone_PNI must_VM0 be_VBI trusted_VVN ._PUN,<<< Let_VVB it_PNP be_VBI the_AT0 >>>,judges_NN2 &quot;_PUQ ._PUN Lord_NP0 Hailsham_NP0 and_CJC Lord_NP0 Denning_NP0 have_VHB not_XX0 been_VBN alone_AJ0 in_PRP their_DPS views_NN2 as_PRP to what_DTQ is_VBZ wrong_AJ0-AV0 with_PRP the_AT0 established_AJ0 constitution_NN1 and_CJC what_DTQ kind_NN1 of_PRF new_AJ0 constitutional_AJ0 settlement_NN1 is_VBZ needed_VVN ._PUN What_DTQ is_VBZ wrong_AJ0-AV0 with_PRP the_AT0 established_AJ0 constitution_NN1 ?_PUN The_AT0 sovereignty_NN1 of_PRF Parliament_NN1 has_VHZ been_VBN the_AT0 linchpin_NN1 of_PRF,64282331,64282334,let,it,be,verb,no control,active,animate,inanimate,written,world_affairs,public,imperative,2,1
5096,G3L,"established first-past-the-post inequalities look rather more fair than is often seen to be the case . Of course , there may be those who would argue that the entrenchment of the middle ground in power would be a good thing that would lead to moderate government and stable policies , but",<<< let them not argue >>>,"that it would also be fair or would give the majority of people what they wanted of government . 2 What are the implications of proportional representation for responsible government ? Since the Second World War , with the exception of the quasi-minority Labour Government of 1974&ndash;9 , Britain has","established_AJ0 first-past-the-post_AJ0 inequalities_NN2 look_VVB rather_AV0 more_AV0 fair_AJ0 than_CJS is_VBZ often_AV0 seen_VVN to_TO0 be_VBI the_AT0 case_NN1 ._PUN Of_AV0 course ,_PUN there_EX0 may_VM0 be_VBI those_DT0 who_PNQ would_VM0 argue_VVI that_CJT the_AT0 entrenchment_NN1 of_PRF the_AT0 middle_AJ0-NN1 ground_NN1 in_PRP power_NN1 would_VM0 be_VBI a_AT0 good_AJ0 thing_NN1 that_CJT would_VM0 lead_VVI to_TO0 moderate_VVI government_NN1 and_CJC stable_AJ0 policies_NN2 ,_PUN but_CJC",<<< let_VVB them_PNP not_XX0 argue_VVI >>>,"that_CJT it_PNP would_VM0 also_AV0 be_VBI fair_AJ0 or_CJC would_VM0 give_VVI the_AT0 majority_NN1 of_PRF people_NN0 what_DTQ they_PNP wanted_VVD of_PRF government_NN1 ._PUN 2_CRD What_DTQ are_VBB the_AT0 implications_NN2 of_PRF proportional_AJ0 representation_NN1 for_PRP responsible_AJ0 government_NN1 ?_PUN Since_CJS the_AT0 Second_ORD World_NN1 War_NN1 ,_PUN with_PRP the_AT0 exception_NN1 of_PRF the_AT0 quasi-minority_NN1 Labour_AJ0 Government_NN1 of_PRF 1974&ndash;9_CRD ,_PUN Britain_NP0 has_VHZ",64289788,64289791,let,them,argue,verb,control,active,animate,animate,written,world_affairs,public,non-imperative,5,2
5121,G46,"you . And er if we can get it to just , well a wee bit of rest , we get to the stage where it er starts to get soft again . It means we can get the muscle to grow over the top and bury that underneath and",<<< let the whole thing >>>,get back to normal . Okay . But just nice gentle exercises . No leaping up and down . Eh ? Okay ? Yeah . just do it nice and gently and that 'll come back to normal . Right thanks Doctor . Okay . Thanks . Right . Bye,"you_PNP ._PUN And_CJC er_UNC if_CJS we_PNP can_VM0 get_VVI it_PNP to_PRP just_AV0 ,_PUN well_AV0 a_AT0 wee_AJ0-NN1 bit_NN1 of_PRF rest_NN1 ,_PUN we_PNP get_VVB to_PRP the_AT0 stage_NN1 where_AVQ-CJS it_PNP er_UNC starts_VVZ to_TO0 get_VVI soft_AJ0 again_AV0 ._PUN It_PNP means_VVZ we_PNP can_VM0 get_VVI the_AT0 muscle_NN1 to_TO0 grow_VVI over_PRP-AVP the_AT0 top_NN1 and_CJC bury_VVB that_DT0-CJT underneath_AV0 and_CJC",<<< let_VVB the_AT0 whole_AJ0-NN1 thing_NN1 >>>,get_VVI back_AVP to_PRP normal_AJ0 ._PUN Okay_AV0 ._PUN But_CJC just_AV0 nice_AJ0 gentle_AJ0 exercises_NN2 ._PUN No_ITJ leaping_VVG up_AVP and_CJC down_AVP ._PUN Eh_ITJ ?_PUN Okay_AV0 ?_PUN Yeah_ITJ ._PUN just_AV0 do_VDB it_PNP nice_AJ0 and_CJC gently_AV0 and_CJC that_DT0 'll_VM0 come_VVI back_AVP to_PRP normal_AJ0 ._PUN Right_AV0-AJ0 thanks_NN2 Doctor_NN1 ._PUN Okay_AV0 ._PUN Thanks_NN2 ._PUN Right_AV0 ._PUN Bye_ITJ,64573167,64573170,let,the whole thing,get back,phrasal verb,no control,active,animate,inanimate,spoken,public_institutional,public,non-imperative,7,3
5122,G48,"that 'll help to turn you into a human being . I 've been helping everybody who 's took that flu , and I think I 've . at last at last it 's reached you . Away home and look after yourself . Never mind the rest of these puddings .",<<< Let them get their >>>,"own prescriptions . You 're too soft , you and Celia . Aye you are . Y d Oh , everybody me . That 's right . It 's always me . That 's right . It 's always tell them to go and Ah , when you tell them","that_DT0 'll_VM0 help_VVI to_TO0 turn_VVI you_PNP into_PRP a_AT0 human_AJ0 being_NN1 ._PUN I_PNP 've_VHB been_VBN helping_VVG everybody_PNI who_PNQ 's_VBZ took_VVN that_DT0 flu_NN1 ,_PUN and_CJC I_PNP think_VVB I_PNP 've_VHB ._PUN at_AV0 last at_AV0 last it_PNP 's_VHZ reached_VVN you_PNP ._PUN Away_AV0 home_AV0 and_CJC look_VVB after_PRP yourself_PNX ._PUN Never_AV0 mind_VVB the_AT0 rest_NN1 of_PRF these_DT0 puddings_NN2 ._PUN",<<< Let_VVB them_PNP get_VVI their_DPS >>>,"own_DT0 prescriptions_NN2 ._PUN You_PNP 're_VBB too_AV0 soft_AJ0 ,_PUN you_PNP and_CJC Celia_NP0 ._PUN Aye_ITJ you_PNP are_VBB ._PUN Y_UNC d_UNC Oh_ITJ ,_PUN everybody_PNI me_PNP ._PUN That_DT0 's_VBZ right_AJ0 ._PUN It_PNP 's_VBZ always_AV0 me_PNP ._PUN That_DT0 's_VBZ right_AJ0 ._PUN It_PNP 's_VBZ always_AV0 tell_VVB them_PNP to_TO0 go_VVI and_CJC Ah_ITJ ,_PUN when_CJS you_PNP tell_VVB them_PNP",64574739,64574742,let,them,get ,verb,control,active,animate,animate,spoken,public_institutional,public,imperative,3,1
5123,G4C,". Aye . Aye . Th they 'll certainly help to take the , the irritation Mhm . off the skin er these ones a you know as well as helping you to sleep , Mhm . these ones are purely and simply to let you pure , pure and simply to",<<< let him get a >>>,sleep . Er it came as a shock fifteen years . Oh aye . Aye . They do n't take too kindly to it . No . Very few folk take kindly to it . something to see about as well Aha . because I 've filled in a self-certified sick,"._PUN Aye_ITJ ._PUN Aye_ITJ ._PUN Th_UNC they_PNP 'll_VM0 certainly_AV0 help_VVI to_TO0 take_VVI the_AT0 ,_PUN the_AT0 irritation_NN1 Mhm_ITJ ._PUN off_PRP the_AT0 skin_NN1 er_UNC these_DT0 ones_NN2 a_UNC you_PNP know_VVB as_PRP well as helping_VVG-NN1 you_PNP to_TO0 sleep_VVI ,_PUN Mhm_ITJ ._PUN these_DT0 ones_NN2 are_VBB purely_AV0 and_CJC simply_AV0 to_TO0 let_VVI you_PNP pure_AJ0 ,_PUN pure_AJ0 and_CJC simply_AV0 to_TO0",<<< let_VVI him_PNP get_VVI a_AT0 >>>,sleep_NN1 ._PUN Er_UNC it_PNP came_VVD as_PRP a_AT0 shock_NN1 fifteen_CRD years_NN2 ._PUN Oh_ITJ aye_ITJ ._PUN Aye_ITJ ._PUN They_PNP do_VDB n't_XX0 take_VVI too_AV0 kindly_AJ0-AV0 to_PRP it_PNP ._PUN No_ITJ ._PUN Very_AV0 few_DT0 folk_NN0 take_VVB kindly_AV0-AJ0 to_PRP it_PNP ._PUN something_PNI to_TO0 see_VVI about_AVP-PRP as_AV0 well Aha_ITJ ._PUN because_CJS I_PNP 've_VHB filled_VVN in_AVP a_AT0 self-certified_AJ0 sick_AJ0,64578291,64578294,let,him ,get ,verb,unclear,active,inanimate,animate,spoken,public_institutional,public,non-imperative,3,1
5124,G4E,"Probably . Let's have a listen and see what 's Take a big deep breath . There we are . And deep breath again . Well , let's do just your ordinary breathing bit . Your heart 's ticking away like a clock . Ah , my heart 's .",<<< Let me look in >>>,"your eyes and see you might be getting a wee bit bloodless actually I mean that 's the other thing Cathy , you 're a bit pale in there . Maybe that 's . Aye . But certainly your heart 's ticking away there like a wee clock , it 's","Probably_AV0 ._PUN Let's_VM0 have_VHI a_AT0 listen_NN1-VVB and_CJC see_VVB what_DTQ 's_VBZ Take_VVB a_AT0 big_AJ0 deep_AJ0 breath_NN1 ._PUN There_AV0 we_PNP are_VBB ._PUN And_CJC deep_AJ0 breath_NN1 again_AV0 ._PUN Well_AV0 ,_PUN let's_VM0 do_VDI just_AV0 your_DPS ordinary_AJ0 breathing_NN1 bit_NN1 ._PUN Your_DPS heart_NN1 's_VBZ ticking_VVG away_AV0 like_PRP a_AT0 clock_NN1 ._PUN Ah_ITJ ,_PUN my_DPS heart_NN1 's_POS ._PUN",<<< Let_VVB me_PNP look_VVI in_PRP >>>,"your_DPS eyes_NN2 and_CJC see_VVB you_PNP might_VM0 be_VBI getting_VVG a_AT0 wee_AJ0-NN1 bit_NN1 bloodless_AJ0 actually_AV0 I_PNP mean_VVB that_DT0 's_VBZ the_AT0 other_AJ0 thing_NN1 Cathy_NP0 ,_PUN you_PNP 're_VBB a_AV0 bit pale_AJ0 in_PRP there_AV0 ._PUN Maybe_AV0 that_DT0 's_VBZ ._PUN Aye_ITJ ._PUN But_CJC certainly_AV0 your_DPS heart_NN1 's_VBZ ticking_VVG away_AV0 there_AV0 like_PRP a_AT0 wee_AJ0-NN1 clock_NN1 ,_PUN it_PNP 's_VBZ",64579775,64579778,let,me,look ,verb,control,active,animate,animate,spoken,public_institutional,public,imperative,4,1
5125,G4F,"So I usually leave a er sheet of paper on the table and if you 're , if you 're interested in getting a free brochure what I shall do at the end of the course is to send this off er together with one of the cards that they",<<< let me have and >>>,"er in due time you 'll get a free Saga magazine . So I 'll leave it about if you do n't bother if you 're not but er I , I , I think that they 're er they 're very good organizations . We do n't now go","So_AV0 I_PNP usually_AV0 leave_VVB a_AT0 er_UNC sheet_NN1 of_PRF paper_NN1 on_PRP the_AT0 table_NN1 and_CJC if_CJS you_PNP 're_VBB ,_PUN if_CJS you_PNP 're_VBB interested_AJ0 in_PRP getting_VVG a_AT0 free_AJ0 brochure_NN1 what_DTQ I_PNP shall_VM0 do_VDI at_PRP the_AT0 end_NN1 of_PRF the_AT0 course_NN1 is_VBZ to_TO0 send_VVI this_DT0 off_AVP-PRP er_UNC together_AV0 with_PRP one_CRD of_PRF the_AT0 cards_NN2 that_CJT they_PNP",<<< let_VVB me_PNP have_VHI and_CJC >>>,"er_UNC in_PRP due_AJ0 time_NN1 you_PNP 'll_VM0 get_VVI a_AT0 free_AJ0 Saga_NN1 magazine_NN1 ._PUN So_AV0 I_PNP 'll_VM0 leave_VVI it_PNP about_AVP-PRP if_CJS you_PNP do_VDB n't_XX0 bother_VVI if_CJS you_PNP 're_VBB not_XX0 but_CJC er_UNC I_PNP ,_PUN I_PNP ,_PUN I_PNP think_VVB that_CJT they_PNP 're_VBB er_UNC they_PNP 're_VBB very_AV0 good_AJ0 organizations_NN2 ._PUN We_PNP do_VDB n't_XX0 now_AV0 go_VVI",64581635,64581638,let,me,have,verb,control,active,animate,animate,spoken,public_institutional,public,non-imperative,4,1
5126,G4G,"you will know that you have difficulty getting out of bed in the morning unless you do something , and this is the way of doing it , move in the bed before , get the circulation going so it moves the acid so that you can move . And do n't",<<< let it deform the >>>,"joints cos it does eventually . Why I 'm very positive about this I am a rheumatoid arthritis person , have been since I oh I do n't know happen to be in my fifties I think . And I have been years on Bold injections and all the rest","you_PNP will_VM0 know_VVI that_CJT you_PNP have_VHB difficulty_NN1 getting_VVG out_PRP of bed_NN1 in_PRP the_AT0 morning_NN1 unless_CJS you_PNP do_VDB something_PNI ,_PUN and_CJC this_DT0 is_VBZ the_AT0 way_NN1 of_PRF doing_VDG it_PNP ,_PUN move_VVB-NN1 in_PRP the_AT0 bed_NN1 before_AV0 ,_PUN get_VVB the_AT0 circulation_NN1 going_VVG so_AV0 it_PNP moves_VVZ the_AT0 acid_NN1 so_CJS that you_PNP can_VM0 move_VVI ._PUN And_CJC do_VDB n't_XX0",<<< let_VVI it_PNP deform_VVI the_AT0 >>>,"joints_NN2 cos_CJS it_PNP does_VDZ eventually_AV0 ._PUN Why_AVQ I_PNP 'm_VBB very_AV0 positive_AJ0 about_PRP this_DT0 I_PNP am_VBB a_AT0 rheumatoid_AJ0-NN1 arthritis_NN1 person_NN1 ,_PUN have_VHB been_VBN since_CJS I_PNP oh_ITJ I_PNP do_VDB n't_XX0 know_VVI happen_VVB to_TO0 be_VBI in_PRP my_DPS fifties_CRD I_PNP think_VVB ._PUN And_CJC I_PNP have_VHB been_VBN years_NN2 on_PRP Bold_AJ0 injections_NN2 and_CJC all_DT0 the_AT0 rest_NN1",64586924,64586927,let,it,deform,verb,no control,active,animate,inanimate,spoken,public_institutional,public,imperative,6,1
